locustag_in_Ngo	GN_in_Ngo	type_in_Ngo	product_in_Ngo	BlastHit	locustag_in_Nmen	GN_in_Nmen	type_in_Nmen	product_in_Nmen	locustag_in_FA1090	GN_in_FA1090	type_in_FA1090	product_in_FA1090
NGFG_01731		gene	DNA-directed RNA polymerase subunit alpha	"	Nmen	FA1090"	NMB0168	rpoA	gene	DNA-directed RNA polymerase subunit alpha	NGO_1818	rpoA	gene	DNA-directed RNA polymerase subunit alpha
NGFG_01732		gene	30S ribosomal protein S4	"	Nmen	FA1090"	NMB0167	rpsD	gene	30S ribosomal protein S4	NGO_1819	rpsD	gene	30S ribosomal protein S4
NGFG_01734		gene	30S ribosomal protein S13	"	Nmen	FA1090"	NMB0165	rpsM	gene	30S ribosomal protein S13	NGO_1821	rpsM	gene	30S ribosomal protein S13
NGFG_01735		gene	translation initiation factor IF-1	"	Nmen	FA1090"	NMB0163	infA	gene	translation initiation factor IF-1	NGO_18211	infA	gene	translation initiation factor IF-1
NGFG_01736		gene	preprotein translocase%2C SecY subunit	"	Nmen	FA1090"	NMB0162	secY	gene	preprotein translocase subunit SecY	NGO_1822	secY	gene	preprotein translocase subunit SecY
NGFG_01737		gene	50S ribosomal protein L15	"	Nmen	FA1090"	NMB0161	rplO	gene	50S ribosomal protein L15	NGO_1823	rplO	gene	50S ribosomal protein L15
NGFG_01738		gene	50S ribosomal protein L30	"	Nmen	FA1090"	NMB0160	rpmD	gene	50S ribosomal protein L30	NGO_18231	rpmD	gene	50S ribosomal protein L30
NGFG_01739		gene	30S ribosomal protein S5	"	Nmen	FA1090"	NMB0159	rpsE	gene	30S ribosomal protein S5	NGO_1824	rpsE	gene	30S ribosomal protein S5
NGFG_01741		gene	50S ribosomal protein L6	"	Nmen	FA1090"	NMB0157	rplF	gene	50S ribosomal protein L6	NGO_1825	rplF	gene	50S ribosomal protein L6
NGFG_01742		gene	30S ribosomal protein S8	"	Nmen	FA1090"	NMB0156	rpsH	gene	30S ribosomal protein S8	NGO_1826	rpsH	gene	30S ribosomal protein S8
NGFG_01743		gene	30S ribosomal protein S14	"	Nmen	FA1090"	NMB0155	rpsN	gene	30S ribosomal protein S14	NGO_18261	rpsN	gene	30S ribosomal protein S14
NGFG_01744		gene	50S ribosomal protein L5	"	Nmen	FA1090"	NMB0154	rplE	gene	50S ribosomal protein L5	NGO_1827	rplE	gene	50S ribosomal protein L5
NGFG_01745		gene	50S ribosomal protein L24	"	Nmen	FA1090"	NMB0153	rplX	gene	50S ribosomal protein L24	NGO_1828	rplX	gene	50S ribosomal protein L24
NGFG_01746		gene	50S ribosomal protein L14	"	Nmen	FA1090"	NMB0152	rplN	gene	50S ribosomal protein L14	NGO_1829	rplN	gene	50S ribosomal protein L14
NGFG_01747		gene	30S ribosomal protein S17	"	Nmen	FA1090"	NMB0151	rpsQ	gene	30S ribosomal protein S17	NGO_1830	rpsQ	gene	30S ribosomal protein S17
NGFG_01748		gene	50S ribosomal protein L29	"	Nmen	FA1090"	NMB0150	rpmC	gene	50S ribosomal protein L29	NGO_1831	rpmC	gene	50S ribosomal protein L29
NGFG_01749		gene	50S ribosomal protein L16	"	Nmen	FA1090"	NMB0149	rplP	gene	50S ribosomal protein L16	NGO_18311	rplP	gene	50S ribosomal protein L16
NGFG_01750		gene	30S ribosomal protein S3	"	Nmen	FA1090"	NMB0148	rpsC	gene	30S ribosomal protein S3	NGO_1832	rpsC	gene	30S ribosomal protein S3
NGFG_01751		gene	50S ribosomal protein L22	"	Nmen	FA1090"	NMB0147	rplV	gene	50S ribosomal protein L22	NGO_1833	rplV	gene	50S ribosomal protein L22
NGFG_01752		gene	30S ribosomal protein S19	"	Nmen	FA1090"	NMB0146	rpsS	gene	30S ribosomal protein S19	NGO_1834	rpsS	gene	30S ribosomal protein S19
NGFG_01753		gene	50S ribosomal protein L2	"	Nmen	FA1090"	NMB0145	rplB	gene	50S ribosomal protein L2	NGO_1835	rplB	gene	50S ribosomal protein L2
NGFG_01754		gene	50S ribosomal protein L23	"	Nmen	FA1090"	NMB0144	rplW	gene	50S ribosomal protein L23	NGO_1836	rplW	gene	50S ribosomal protein L23
NGFG_01755		gene	50S ribosomal protein L4	"	Nmen	FA1090"	NMB0143	rplD	gene	50S ribosomal protein L4	NGO_1837	rplD	gene	50S ribosomal protein L4
NGFG_01756		gene	50S ribosomal protein L3	"	Nmen	FA1090"	NMB0142	rplC	gene	50S ribosomal protein L3	NGO_1838	rplC	gene	50S ribosomal protein L3
NGFG_02229		gene	30S ribosomal protein S10	"	Nmen	FA1090"	NMB0140	rpsJ	gene	30S ribosomal protein S10	NGO_1841	rpsJ	gene	30S ribosomal protein S10
NGFG_02465		gene	elongation factor Tu	"	Nmen	FA1090"	NMB0124	tuf	gene	elongation factor Tu	NGO_1842	tuf	gene	elongation factor Tu
NGFG_01757		gene	elongation factor G	"	Nmen	FA1090"	NMB0138	fusA	gene	elongation factor G	NGO_1843	fusA	gene	elongation factor G
NGFG_01758		gene	30S ribosomal protein S7	"	Nmen	FA1090"	NMB0137	rpsG	gene	30S ribosomal protein S7	NGO_1844	rpsG	gene	30S ribosomal protein S7
NGFG_01759		gene	30S ribosomal protein S12	"	Nmen	FA1090"	NMB0136	rpsL	gene	30S ribosomal protein S12	NGO_1845	rpsL	gene	30S ribosomal protein S12
NGFG_01761		gene	hypothetical protein	"	FA1090"					NGO_1847		gene	DUF560 domain-containing protein
NGFG_01762		gene	hypothetical protein	"	Nmen	FA1090"	NMB0134		gene	hypothetical protein	NGO_1848		gene	hypothetical protein
NGFG_01763		gene	hypothetical protein	"	FA1090"					NGO_09870		gene	hypothetical protein
NGFG_01764		gene	hypothetical protein	"	FA1090"					NGO_09875		pseudogene	hypothetical protein
NGFG_01765		pseudogene		"	Nmen	FA1090"	NMB0133	rpoC	gene	DNA-directed RNA polymerase subunit beta'	NGO_1850	rpoC	gene	DNA-directed RNA polymerase subunit beta'
NGFG_01766		gene	DNA-directed RNA polymerase subunit beta	"	Nmen	FA1090"	NMB0132	rpoB	gene	DNA-directed RNA polymerase subunit beta	NGO_1851	rpoB	gene	DNA-directed RNA polymerase subunit beta
NGFG_01767		gene	50S ribosomal protein L7/L12	"	Nmen	FA1090"	NMB0131	rplL	gene	50S ribosomal protein L7/L12	NGO_1852	rplL	gene	50S ribosomal protein L7/L12
NGFG_01768		gene	50S ribosomal protein L10	"	Nmen	FA1090"	NMB0130	rplJ	gene	50S ribosomal protein L10	NGO_1853	rplJ	gene	50S ribosomal protein L10
NGFG_01770		gene	50S ribosomal protein L1	"	Nmen	FA1090"	NMB0128	rplA	gene	50S ribosomal protein L1	NGO_1854	rplA	gene	50S ribosomal protein L1
NGFG_01771		gene	50S ribosomal protein L11	"	Nmen	FA1090"	NMB0127	rplK	gene	50S ribosomal protein L11	NGO_1855	rplK	gene	50S ribosomal protein L11
NGFG_01772	nusG	gene	transcription antitermination protein nusG	"	Nmen	FA1090"	NMB0126	nusG	gene	transcription termination/antitermination protein NusG	NGO_1856	nusG	gene	transcription termination/antitermination protein NusG
NGFG_01773		gene	preprotein translocase%2C SecE subunit	"	Nmen	FA1090"	NMB0125	secE	gene	preprotein translocase subunit SecE	NGO_1857	secE	gene	preprotein translocase subunit SecE
NGFG_06053		tRNA	tRNA-Trp	""								
NGFG_02466		gene	elongation factor Tu	"	Nmen	FA1090"	NMB0124	tuf	gene	elongation factor Tu	NGO_1858	tuf	gene	elongation factor Tu
NGFG_06054		tRNA	tRNA-Thr	""								
NGFG_06055		tRNA	tRNA-Gly	""								
NGFG_06056		tRNA	tRNA-Tyr	""								
NGFG_01774		gene	ferredoxin	"	Nmen	FA1090"	NMB0123		gene	YfhL family 4Fe-4S dicluster ferredoxin	NGO_1859		gene	YfhL family 4Fe-4S dicluster ferredoxin
NGFG_01775		gene	RsmD family RNA methyltransferase	"	Nmen	FA1090"	NMB0122	rsmD	gene	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	NGO_1860	rsmD	gene	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD
NGFG_01776		gene	hypothetical protein	""								
NGFG_02467		gene	opacity protein	"	Nmen	FA1090"	NMB1636		gene	outer membrane beta-barrel protein	NGO_1040a		gene	outer membrane beta-barrel protein
NGFG_02468		gene	opacity protein	""								
NGFG_01778		pseudogene		"	FA1090"							pseudogene	IS1595 family transposase
NGFG_01779		gene	DNA topoisomerase I	"	Nmen	FA1090"	NMB0118	topA	gene	type I DNA topoisomerase	NGO_1863	topA	gene	type I DNA topoisomerase
NGFG_01780		gene	smg protein	"	Nmen	FA1090"	NMB0117		gene	DUF494 family protein	NGO_1864		gene	DUF494 family protein
NGFG_01781		gene	DNA processing protein	"	Nmen	FA1090"	NMB0116	dprA	gene	DNA-protecting protein DprA	NGO_1865	dprA	gene	DNA-protecting protein DprA
NGFG_01782		gene	two-component system transcriptional response regulator	"	Nmen	FA1090"	NMB0115		gene	sigma-54-dependent Fis family transcriptional regulator	NGO_1866		gene	sigma-54-dependent Fis family transcriptional regulator
NGFG_01783		gene	two-component system sensor kinase	"	Nmen	FA1090"	NMB0114		gene	PAS domain-containing sensor histidine kinase	NGO_1867		gene	HAMP domain-containing histidine kinase
NGFG_01784		gene	hypothetical protein	"	Nmen	FA1090"	NMB0113		gene	DUF4390 domain-containing protein	NGO_1868		gene	DUF4390 domain-containing protein
NGFG_01785		gene	ribosomal RNA small subunit methyltransferase B	"	Nmen	FA1090"	NMB0112	rsmB	gene	16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	NGO_1869	rsmB	gene	16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB
NGFG_01786		gene	methionyl-tRNA formyltransferase	"	Nmen	FA1090"	NMB0111		gene	methionyl-tRNA formyltransferase	NGO_1870		gene	methionyl-tRNA formyltransferase
NGFG_01787		gene	peptide deformylase	"	Nmen	FA1090"	NMB0110	def	gene	peptide deformylase	NGO_1871	def	gene	peptide deformylase
NGFG_01788		gene	LysM protein	"	Nmen	FA1090"	NMB0109		gene	LysM peptidoglycan-binding domain-containing protein	NGO_1873		gene	LysM peptidoglycan-binding domain-containing protein
NGFG_01790		gene	hypothetical protein	"	Nmen	FA1090"	NMB0108		gene	hypothetical protein	NGO_1875		gene	hypothetical protein
NGFG_01791		gene	aspartate carbamoyltransferase regulatory chain	"	Nmen	FA1090"	NMB0107		gene	aspartate carbamoyltransferase regulatory subunit	NGO_1876		gene	aspartate carbamoyltransferase regulatory subunit
NGFG_01792		gene	aspartate carbamoyltransferase	"	Nmen	FA1090"	NMB0106	pyrB	gene	aspartate carbamoyltransferase	NGO_1877	pyrB	gene	aspartate carbamoyltransferase
NGFG_01793		gene	acetyltransferase	"	Nmen	FA1090"	NMB0105		gene	GNAT family N-acetyltransferase	NGO_1878		gene	GNAT family N-acetyltransferase
NGFG_01794		gene	hypothetical protein	"	Nmen	FA1090"	NMB0102		gene	hypothetical protein	NGO_1880		gene	hypothetical protein
NGFG_01796		gene	pyruvate kinase	"	Nmen	FA1090"	NMB0089	pyk	gene	pyruvate kinase	NGO_1881	pyk	gene	pyruvate kinase
NGFG_01797		gene	long-chain fatty acid transporter	""								
NGFG_01798		gene	hypothetical protein	"	Nmen	FA1090"	NMB0088		gene	transporter			pseudogene	transporter
NGFG_01799		gene	hypothetical protein	"	FA1090"					NGO_1886		gene	hypothetical protein
NGFG_01801		gene	hypothetical protein	"	Nmen	FA1090"	NMB0087		gene	hypothetical protein	NGO_1888		gene	hypothetical protein
NGFG_01802		gene	lipoprotein	"	Nmen	FA1090"	NMB0086		gene	DUF1311 domain-containing protein	NGO_1889		gene	DUF1311 domain-containing protein
NGFG_01803		gene	sodium/glutamate symporter	"	Nmen	FA1090"	NMB0085	gltS	gene	sodium/glutamate symporter	NGO_1890	gltS	gene	sodium/glutamate symporter
NGFG_02469		gene	hypothetical protein	"	FA1090"					NGO_1891		gene	hypothetical protein
NGFG_01805		gene	restriction endonuclease	"	FA1090"					NGO_10130		pseudogene	HNH endonuclease
NGFG_01806		gene	modification methylase HphIB	"	FA1090"					NGO_1893		gene	DNA adenine methylase
NGFG_02470		gene	modification methylase HphIA	"	Nmen	FA1090"	NMB0076	dcm	pseudogene	DNA (cytosine-5-)-methyltransferase	NGO_1894	dcm	gene	DNA (cytosine-5-)-methyltransferase
NGFG_01809		gene	competence protein ComEA helix-hairpin-helix repeat region	"	Nmen	FA1090"	NMB0075		gene	RNA-binding transcriptional accessory protein	NGO_1895		gene	RNA-binding transcriptional accessory protein
NGFG_01810		gene	UDP-glucose 4-epimerase	"	Nmen	FA1090"	NMB0078	galE	pseudogene	UDP-glucose 4-epimerase GalE	NGO_1896	galE	gene	UDP-glucose 4-epimerase GalE
NGFG_01811		gene	dTDP-glucose 4%2C6-dehydratase	"	Nmen	FA1090"	NMB0063	rfbB	gene	dTDP-glucose 4%2C6-dehydratase	NGO_1897	rfbB	gene	dTDP-glucose 4%2C6-dehydratase
NGFG_01812		gene	glucose-1-phosphate thymidylyltransferase	"	Nmen	FA1090"	NMB0062	rfbA	gene	glucose-1-phosphate thymidylyltransferase RfbA	NGO_1898	rfbA	gene	glucose-1-phosphate thymidylyltransferase RfbA
NGFG_01813		gene	dTDP-4-dehydrorhamnose 3%2C5-epimerase	"	Nmen	FA1090"	NMB0061	rfbC	gene	dTDP-4-dehydrorhamnose 3%2C5-epimerase	NGO_1898a	rfbC	gene	dTDP-4-dehydrorhamnose 3%2C5-epimerase
NGFG_01814		gene	OPT family oligopeptide transporter	"	Nmen	FA1090"	NMB0060		gene	oligopeptide transporter%2C OPT family	NGO_1900		gene	oligopeptide transporter%2C OPT family
NGFG_01815	dnaJ	gene	chaperone dnaJ	"	Nmen	FA1090"	NMB0059	dnaJ	gene	molecular chaperone DnaJ	NGO_1901	dnaJ	gene	molecular chaperone DnaJ
NGFG_01816		gene	transposase	"	FA1090"					NGO_10180		gene	transposase
NGFG_02471		gene	comEA protein	"	Nmen	FA1090"	NMB0299		gene	helix-hairpin-helix domain-containing protein	NGO_1178		gene	helix-hairpin-helix domain-containing protein
NGFG_06057		rRNA	5S ribosomal RNA	""								
NGFG_06058		rRNA	23S ribosomal RNA	""								
NGFG_06059		tRNA	tRNA-Ala	""								
NGFG_06060		tRNA	tRNA-Ile	""								
NGFG_06061		rRNA	16S ribosomal RNA	""								
NGFG_02472		gene	hypothetical protein	""								
NGFG_01984		gene	DnaK suppressor protein	"	Nmen	FA1090"	NMB0056	dksA	gene	RNA polymerase-binding protein DksA	NGO_1904	dksA	gene	RNA polymerase-binding protein DksA
NGFG_01983		gene	pyrroline-5-carboxylate reductase	"	Nmen	FA1090"	NMB0055		gene	pyrroline-5-carboxylate reductase	NGO_1905		gene	pyrroline-5-carboxylate reductase
NGFG_01982		gene	lipoprotein	"	Nmen	FA1090"	NMB0054		gene	hypothetical protein	NGO_1906		gene	hypothetical protein
NGFG_01981		gene	YggS family pyridoxal phosphate enzyme	"	Nmen	FA1090"	NMB0053		gene	YggS family pyridoxal phosphate-dependent enzyme	NGO_1907		gene	YggS family pyridoxal phosphate-dependent enzyme
NGFG_01980		gene	twitching motility protein	"	Nmen	FA1090"	NMB0052	pilT	gene	type IV pilus twitching motility protein PilT	NGO_1908	pilT	gene	type IV pilus twitching motility protein PilT
NGFG_01979		gene	twitching motility protein	"	Nmen	FA1090"	NMB0051		gene	PilT/PilU family type 4a pilus ATPase	NGO_1909		gene	PilT/PilU family type 4a pilus ATPase
NGFG_01978		gene	TIGR01666 family membrane protein	"	Nmen	FA1090"	NMB0050	yccS	gene	TIGR01666 family membrane protein	NGO_1910	yccS	gene	TIGR01666 family membrane protein
NGFG_02247		gene	endonuclease	"	Nmen	FA1090"	NMB0047		gene	GIY-YIG nuclease family protein	NGO_1911		gene	GIY-YIG nuclease family protein
NGFG_01977	pilC	gene	type IV pilus assembly protein PilC	"	Nmen	FA1090"	NMB1847	pilC	gene	pilus assembly/adherence protein PilC	NGO_0055	pilC	gene	pilus assembly/adherence protein PilC
NGFG_01975		gene	6-phosphogluconate dehydrogenase%2C decarboxylating	"	Nmen	FA1090"	NMB0015	gnd	gene	decarboxylating NADP(+)-dependent phosphogluconate dehydrogenase	NGO_1914	gnd	gene	decarboxylating NADP(+)-dependent phosphogluconate dehydrogenase
NGFG_01974		gene	3-deoxy-D-manno-octulosonic-acid transferase	"	Nmen	FA1090"	NMB0014		gene	lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase	NGO_1915		gene	lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase
NGFG_01973		gene	hypothetical protein	"	Nmen	FA1090"	NMB0013		gene	CopD family copper resistance protein	NGO_1916		gene	CopD family copper resistance protein
NGFG_01972	terC	gene	tellurite resistance integral membrane protein TerC	"	Nmen	FA1090"	NMB0012		gene	TerC family protein	NGO_1917		gene	TerC family protein
NGFG_06062		tRNA	tRNA-Lys	""								
NGFG_01971		gene	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	"	Nmen	FA1090"	NMB0011	murA	gene	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	NGO_1918	murA	gene	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
NGFG_01970		gene	phosphoglycerate kinase	"	Nmen	FA1090"	NMB0010		gene	phosphoglycerate kinase	NGO_1919		gene	phosphoglycerate kinase
NGFG_01969		gene	BolA-like protein	"	Nmen	FA1090"	NMB0009		gene	BolA family transcriptional regulator	NGO_1920		gene	BolA family transcriptional regulator
NGFG_01968	ftsX	gene	cell division protein FtsX	"	Nmen	FA1090"	NMB0008	ftsX	gene	cell division protein FtsX	NGO_1921	ftsX	gene	cell division protein FtsX
NGFG_02473		gene	cell division ABC transporter ATP-binding protein	"	Nmen	FA1090"	NMB0007	ftsE	gene	cell division ATP-binding protein FtsE	NGO_1922	ftsE	gene	cell division ATP-binding protein FtsE
NGFG_01965		gene	thioredoxin	"	Nmen	FA1090"	NMB0006		gene	TlpA family protein disulfide reductase	NGO_1923		gene	TlpA family protein disulfide reductase
NGFG_01964		gene	arsenate reductase (glutaredoxin)	"	Nmen	FA1090"	NMB0005	arsC	gene	arsenate reductase (glutaredoxin)	NGO_1924	arsC	gene	arsenate reductase (glutaredoxin)
NGFG_01963		gene	hypothetical protein	"	Nmen	FA1090"	NMB0004		gene	YdcF family protein	NGO_1924a		gene	YdcF family protein
NGFG_01962		gene	glutamyl-tRNA synthetase	"	Nmen	FA1090"	NMB0003		gene	glutamate--tRNA ligase	NGO_1926		gene	glutamate--tRNA ligase
NGFG_01961		gene	hypothetical protein	"	Nmen	FA1090"	NMB0002		gene	hypothetical protein	NGO_1927		gene	hypothetical protein
NGFG_01960		gene	acetyltransferase	"	Nmen	FA1090"	NMB0001		gene	GNAT family N-acetyltransferase	NGO_1928		gene	GNAT family N-acetyltransferase
NGFG_01959	mutS	gene	DNA mismatch repair protein mutS	"	Nmen	FA1090"	NMB2160	mutS	gene	DNA mismatch repair protein MutS	NGO_1930	mutS	gene	DNA mismatch repair protein MutS
NGFG_01958		gene	glyceraldehyde-3-phosphate dehydrogenase	"	Nmen	FA1090"	NMB2159	gap	gene	type I glyceraldehyde-3-phosphate dehydrogenase	NGO_1931	gap	gene	type I glyceraldehyde-3-phosphate dehydrogenase
NGFG_01957		gene	hypothetical protein	"	Nmen	FA1090"	NMB2158	tsaA	gene	tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO	NGO_1932	tsaA	gene	tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO
NGFG_01956		gene	nicotinamidase/pyrazinamidase	"	Nmen	FA1090"	NMB2157		gene	nicotinamidase	NGO_1933		gene	nicotinamidase
NGFG_01955		gene	lipopolysaccharide heptosyltransferase I	"	Nmen	FA1090"	NMB2156	waaC	gene	lipopolysaccharide heptosyltransferase I	NGO_1934	waaC	gene	lipopolysaccharide heptosyltransferase I
NGFG_01954	eTFB	gene	electron transfer flavoprotein beta subunit ETFB	"	Nmen	FA1090"	NMB2155		gene	electron transfer flavoprotein subunit beta/FixA family protein	NGO_1935		gene	electron transfer flavoprotein subunit beta/FixA family protein
NGFG_01953	etfA	gene	electron transfer flavoprotein alpha subunit EtfA	"	Nmen	FA1090"	NMB2154		gene	electron transfer flavoprotein subunit alpha/FixB family protein	NGO_1936		gene	electron transfer flavoprotein subunit alpha/FixB family protein
NGFG_01952		gene	hypothetical protein	"	Nmen	FA1090"	NMB2153		gene	YigZ family protein	NGO_10400		pseudogene	YigZ family protein
NGFG_01951		gene	hypothetical protein	"	Nmen	FA1090"	NMB2152		gene	DUF4298 domain-containing protein	NGO_1938		gene	DUF4298 domain-containing protein
NGFG_01950		gene	phosphoribosylamine-glycine ligase	"	Nmen	FA1090"	NMB2151	purD	gene	phosphoribosylamine--glycine ligase	NGO_1939	purD	gene	phosphoribosylamine--glycine ligase
NGFG_01949	rimN	gene	tRNA threonylcarbamoyladenosine biosynthesis protein RimN	"	Nmen	FA1090"	NMB2150		gene	L-threonylcarbamoyladenylate synthase	NGO_1940		gene	L-threonylcarbamoyladenylate synthase
NGFG_01948		gene	hypothetical protein	"	FA1090"					NGO_1941		gene	hypothetical protein
NGFG_01947		gene	lipoprotein	"	Nmen	FA1090"	NMB2147		gene	hypothetical protein	NGO_1942		gene	hypothetical protein
NGFG_01946		gene	hypothetical protein	"	Nmen	FA1090"	NMB2145		gene	zf-HC2 domain-containing protein	NGO_1943		gene	zf-HC2 domain-containing protein
NGFG_01945		gene	TIGR02943 family RNA polymerase sigma-70 factor	"	Nmen	FA1090"	NMB2144		gene	sigma-70 family RNA polymerase sigma factor	NGO_1944		gene	sigma-70 family RNA polymerase sigma factor
NGFG_01944		gene	hypothetical protein	"	Nmen	FA1090"	NMB2143		gene	DUF2063 domain-containing protein	NGO_1945		gene	DUF2063 domain-containing protein
NGFG_01943		gene	UPF0276 protein	"	Nmen	FA1090"	NMB2142		gene	DUF692 family protein	NGO_1946		gene	DUF692 family protein
NGFG_01942		gene	hypothetical protein	"	Nmen	FA1090"	NMB2141		gene	hypothetical protein	NGO_1947		gene	hypothetical protein
NGFG_01941		gene	oxidoreductase	"	Nmen	FA1090"	NMB2140		gene	DoxX family protein	NGO_1948		gene	DoxX family protein
NGFG_01940		gene	phospholipase patatin family protein	"	Nmen	FA1090"	NMB2139		gene	patatin-like phospholipase family protein	NGO_1949		gene	patatin-like phospholipase family protein
NGFG_01939		gene	peptide chain release factor 2	"	Nmen	FA1090"	NMB2138	prfB	gene	peptide chain release factor 2	NGO_1951	prfB	gene	peptide chain release factor 2
NGFG_02474		gene	hypothetical protein	"	Nmen	FA1090"		rnpB	RNase_P_RNA	RNase P RNA component class A	NGO_19101	rnpB	RNase_P_RNA	RNase P RNA component class A
NGFG_01937		gene	amino acid/peptide transporter (Peptide:H+ symporter)	"	Nmen	FA1090"	NMB2136		gene	MFS transporter	NGO_1954		gene	MFS transporter
NGFG_01935		gene	hypothetical protein	"	Nmen	FA1090"	NMB2135	tamB	gene	translocation/assembly module TamB	NGO_1955	tamB	gene	translocation/assembly module TamB
NGFG_01934		gene	outer membrane protein	"	Nmen	FA1090"	NMB2134		gene	outer membrane protein assembly factor	NGO_1956		gene	outer membrane protein assembly factor
NGFG_01933	sstT	gene	serine/threonine transporter sstT	"	Nmen	FA1090"	NMB2133	sstT	gene	serine/threonine transporter SstT	NGO_1957	sstT	gene	serine/threonine transporter SstT
NGFG_01931		gene	iron transporter outer membrane receptor	"	Nmen	FA1090"	NMB2132		gene	transferrin-binding protein-like solute binding protein	NGO_1958		gene	transferrin-binding protein-like solute binding protein
NGFG_02475		gene	hypothetical protein	"	FA1090"					NGO_1959		gene	malate:quinone oxidoreductase
NGFG_01929		gene	hypothetical protein	"	FA1090"							gene	hypothetical protein
NGFG_01928		gene	hypothetical protein	"	Nmen	FA1090"	NMB2131		gene	hypothetical protein	NGO_1959a		gene	hypothetical protein
NGFG_01927		gene	hypothetical protein	"	Nmen	FA1090"	NMB2130		gene	DUF4177 domain-containing protein	NGO_1960a		gene	DUF4177 domain-containing protein
NGFG_01926		gene	argininosuccinate synthase	"	Nmen	FA1090"	NMB2129	argG	gene	argininosuccinate synthase	NGO_1961	argG	gene	argininosuccinate synthase
NGFG_01925		gene	CinA-like protein	"	Nmen	FA1090"	NMB2128		gene	competence/damage-inducible protein A	NGO_1962		gene	competence/damage-inducible protein A
NGFG_01924		gene	signal peptide peptidase SppA%2C 36K type	"	Nmen	FA1090"	NMB2127		gene	S49 family peptidase	NGO_1963		gene	S49 family peptidase
NGFG_02476		gene	transposase	""								
NGFG_01923		gene	hypothetical protein	"	Nmen	FA1090"	NMB2125		gene	hypothetical protein	NGO_1965		gene	hypothetical protein
NGFG_01922		gene	hypothetical protein	"	Nmen	FA1090"	NMB2123		gene	DNA mimic protein	NGO_1966		gene	DNA mimic protein
NGFG_02477		gene	MafB family adhesin protein	"	Nmen	FA1090"	NMB2105	mafB	gene	polymorphic toxin MafB class 3	NGO_10555	mafB	pseudogene	polymorphic toxin MafB class 3
NGFG_01919		gene	hypothetical protein	"	Nmen	FA1090"	NMB0237		gene	immunity 8 family protein	NGO_1967		gene	immunity 8 family protein
NGFG_02223		gene	hypothetical protein	"	Nmen	FA1090"	NMB2108		gene	hypothetical protein	NGO_10580		gene	hypothetical protein
NGFG_02222		gene	MafB family adhesin protein	"	Nmen	FA1090"	NMB2107	mafB	pseudogene	polymorphic toxin MafB class 3	NGO_10585	mafB	pseudogene	polymorphic toxin MafB class 3
NGFG_01917		gene	hypothetical protein	"	FA1090"					NGO_1969		gene	hypothetical protein
NGFG_01916		gene	hypothetical protein	"	FA1090"					NGO_1970		gene	immunity 8 family protein
NGFG_01915		gene	MafB family adhesin protein	"	Nmen	FA1090"	NMB2105	mafB	gene	polymorphic toxin MafB class 3	NGO_1971		gene	MafB family polymorphic toxin
NGFG_01914		gene	hypothetical protein	"	Nmen"	NMB2110		gene	SMI1/KNR4 family protein				
NGFG_02478		gene	MafB family adhesin protein	"	Nmen	FA1090"	NMB2105	mafB	gene	polymorphic toxin MafB class 3	NGO_1971		gene	MafB family polymorphic toxin
NGFG_02219	mafA	gene	adhesin mafA	"	Nmen	FA1090"	NMB2104	mafA	pseudogene	adhesin MafA	NGO_1067	mafA	gene	adhesin MafA
NGFG_01912		gene	uridylate kinase	"	Nmen	FA1090"	NMB2103		gene	UMP kinase	NGO_1973		gene	UMP kinase
NGFG_01911		gene	elongation factor Ts	"	Nmen	FA1090"	NMB2102		gene	elongation factor Ts	NGO_1974		gene	elongation factor Ts
NGFG_02479		gene	hypothetical protein	""								
NGFG_01910		gene	30S ribosomal protein S2	"	Nmen	FA1090"	NMB2101	rpsB	gene	30S ribosomal protein S2	NGO_1975	rpsB	gene	30S ribosomal protein S2
NGFG_01909		gene	hypothetical protein	"	Nmen	FA1090"	NMB2100		gene	hypothetical protein	NGO_1976		gene	hypothetical protein
NGFG_01908		gene	5-formyltetrahydrofolate cyclo-ligase	"	Nmen	FA1090"	NMB2099		gene	5-formyltetrahydrofolate cyclo-ligase	NGO_1977		gene	5-formyltetrahydrofolate cyclo-ligase
NGFG_01907		gene	hypothetical protein	"	Nmen	FA1090"	NMB2098		gene	GNAT family N-acetyltransferase	NGO_1978		gene	GNAT family N-acetyltransferase
NGFG_01906		gene	malate dehydrogenase (acceptor)	"	Nmen	FA1090"	NMB2096		gene	malate:quinone oxidoreductase	NGO_1980		gene	malate:quinone oxidoreductase
NGFG_01905		gene	hypothetical protein	"	Nmen	FA1090"	NMB2095		gene	adhesin	NGO_1981		gene	hypothetical protein
NGFG_01904		gene	hypothetical protein	"	Nmen	FA1090"	NMB2094		gene	transcriptional regulator	NGO_1982		gene	helix-turn-helix transcriptional regulator
