locustag_in_Ngo	gene	gene_takenfrom	locustag_in_Nmen	locustag_in_FA1090	product_in_Ngo	product_in_Nmen	product_in_FA1090
NGFG_02071			NMB1748	NGO_1264	phage protein	DUF2523 domain-containing protein	DUF2523 domain-containing protein
NGFG_02451	tspB	Nmen_FA1090_fromproduct	NMB1747	NGO_1140		T cell/B cell stimulating protein TspB	T cell/B cell stimulating protein TspB
NGFG_02452	tspB	Nmen_FA1090_fromproduct	NMB1548	NGO_1140	hypothetical protein	T cell/B cell stimulating protein TspB	T cell/B cell stimulating protein TspB
NGFG_02453			NMB1550	NGO_1646	integral membrane protein	DUF2523 domain-containing protein	DUF2523 domain-containing protein
NGFG_02454			NMB1551	NGO_1647	Zona occludens toxin	DUF2075 domain-containing protein	DUF2075 domain-containing protein
NGFG_02455			NMB1552	NGO_1648	transposase	IS110 family transposase	IS110-like element ISNgo3 family transposase
NGFG_02095				NGO_1649	phage protein		TIGR02594 family protein
NGFG_02096					phage protein		
NGFG_02097				NGO_0519	phage protein		hypothetical protein
NGFG_02098				NGO_0519	hypothetical protein		hypothetical protein
NGFG_02100			NMB0897	NGO_1651	phage protein	type II toxin-antitoxin system PemK/MazF family toxin	type II toxin-antitoxin system PemK/MazF family toxin
NGFG_02102				NGO_1652	phage protein		hypothetical protein
NGFG_02103				NGO_1653	hypothetical protein		hypothetical protein
NGFG_02104			NMB0347	NGO_1654	D-tyrosyl-tRNA(Tyr) deacylase	D-tyrosyl-tRNA(Tyr) deacylase	D-tyrosyl-tRNA(Tyr) deacylase
NGFG_02105			NMB0346	NGO_1655	hypothetical protein	peptidyl-prolyl cis-trans isomerase	peptidyl-prolyl cis-trans isomerase
NGFG_02106			NMB0345	NGO_1656	hypothetical protein	peptidyl-prolyl cis-trans isomerase	peptidyl-prolyl cis-trans isomerase
NGFG_02107			NMB0344	NGO_1657	BolA-lie protein	BolA family transcriptional regulator	BolA family transcriptional regulator
NGFG_02108			NMB0343	NGO_1658	hypothetical protein	YciI family protein	hypothetical protein
NGFG_02109			NMB0342	NGO_1659	intracellular septation protein A	septation protein A	septation protein A
NGFG_02110			NMB0341	 |  | 		FimV family protein	 | LysM peptidoglycan-binding domain-containing protein | FimV family protein
NGFG_02111	gloA	Nmen_FA1090_fromgene	NMB0340	NGO_08805	lactoylglutathione lyase	lactoylglutathione lyase	lactoylglutathione lyase
NGFG_02112	lapB	Nmen_FA1090_fromgene	NMB0339	NGO_1662	hypothetical protein	lipopolysaccharide assembly protein LapB	lipopolysaccharide assembly protein LapB
NGFG_02113			NMB0338	NGO_1663	hypothetical protein	DUF1049 domain-containing protein	DUF1049 domain-containing protein
NGFG_02115	ilvE	Nmen_FA1090_fromgene	NMB0337	NGO_1665	branched-chain amino acid aminotransferase	branched-chain-amino-acid transaminase	branched-chain-amino-acid transaminase
NGFG_02116	fabI	Nmen_FA1090_fromgene	NMB0336	NGO_1666	enoyl-[acyl-carrier-protein] reductase [NADH]	enoyl-ACP reductase FabI	enoyl-ACP reductase FabI
NGFG_02117	dapD	Nmen_FA1090_fromgene	NMB0335	NGO_1667	2%2C3%2C4%2C5-tetrahydropyridine-2%2C6-dicarboxylate N-succinyltransferase	2%2C3%2C4%2C5-tetrahydropyridine-2%2C6-dicarboxylate N-succinyltransferase	2%2C3%2C4%2C5-tetrahydropyridine-2%2C6-dicarboxylate N-succinyltransferase
NGFG_02118	pgi	Nmen_FA1090_fromgene	NMB0334	NGO_1668	glucose-6-phosphate isomerase 2	glucose-6-phosphate isomerase	glucose-6-phosphate isomerase
NGFG_02119	pilG	Nmen_FA1090_fromgene	NMB0333	NGO_1669	type IV pilus assembly protein PilC	type 4 pilus assembly protein PilG	type 4 pilus assembly protein PilG
NGFG_02120			NMB0332	NGO_1670	type 4 prepilin-like protein leader peptide-processing enzyme	prepilin peptidase	prepilin peptidase
NGFG_02121			NMB0331	NGO_1671	dephospho-CoA kinase	dephospho-CoA kinase	dephospho-CoA kinase
NGFG_02122	yacG	Nmen_FA1090_fromproduct	NMB0330	NGO_1672	UPF0243 zinc-binding protein ORFY	DNA gyrase inhibitor YacG	DNA gyrase inhibitor YacG
NGFG_02123	pilB	Nmen_FA1090_fromgene	NMB0329	NGO_1673	type IV pilus assembly protein pilF	type IV-A pilus assembly ATPase PilB	type IV-A pilus assembly ATPase PilB
NGFG_06042			NMBt15	NGO_t37	tRNA-Arg	tRNA-Arg	tRNA-Arg
NGFG_02124			NMB0327	NGO_1674	UPF0756 membrane protein	DUF441 domain-containing protein	DUF441 domain-containing protein
NGFG_02125	ispB	Nmen_fromgene	NMB0326	NGO_1675	octaprenyl-diphosphate synthase	octaprenyl diphosphate synthase	polyprenyl synthetase family protein
NGFG_02126	rplU	Nmen_FA1090_fromgene	NMB0325	NGO_1676	50S ribosomal protein L21	50S ribosomal protein L21	50S ribosomal protein L21
NGFG_02127	rpmA	Nmen_FA1090_fromgene	NMB0324	NGO_1677	50S ribosomal protein L27	50S ribosomal protein L27	50S ribosomal protein L27
NGFG_02128	ubiM	Nmen_FA1090_fromgene	NMB0323	NGO_1678	UbiH/UbiF/VisC/COQ6 family ubiquinone biosynthesis hydroxylase	5-demethoxyubiquinol-8 5-hydroxylase UbiM	5-demethoxyubiquinol-8 5-hydroxylase UbiM
NGFG_02129	rpmG	FA1090_fromgene		NGO_1679	50S ribosomal protein L33		50S ribosomal protein L33
NGFG_02130	rpmB	Nmen_FA1090_fromgene	NMB0321	NGO_1680	50S ribosomal protein L28	50S ribosomal protein L28	50S ribosomal protein L28
NGFG_02456	farB	Nmen_FA1090_fromgene	NMB0319	NGO_1682	drug:H+ antiporter-2 (14 Spanner) (DHA2) family drug resistance MFS transporter	fatty acid resistance MFS efflux transporter permease subunit FarB	fatty acid resistance MFS efflux transporter permease subunit FarB
NGFG_02457	farA	Nmen_FA1090_fromgene	NMB0318	NGO_1683	multidrug resistance efflux pump membrane protein A	fatty acid resistance MFS efflux transporter adaptor subunit FarA	fatty acid resistance MFS efflux transporter adaptor subunit FarA
NGFG_02134	queF	Nmen_FA1090_fromgene	NMB0317	NGO_1684	NADPH-dependent 7-cyano-7-deazaguanine reductase	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF
NGFG_02135			NMB0316	NGO_1685	hypothetical protein	7-cyano-7-deazaguanine/7-aminomethyl-7-deazaguanine transporter	7-cyano-7-deazaguanine/7-aminomethyl-7-deazaguanine transporter
NGFG_02136			NMB0315	NGO_1686	metallopeptidase	M23 family metallopeptidase	M23 family metallopeptidase
NGFG_02137			NMB0314	NGO_1687	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_02138			NMB0313	NGO_1688	outer membrane protein OmpU	DUF560 domain-containing protein	DUF560 domain-containing protein
NGFG_02139			NMB0312			autotransporter outer membrane beta-barrel domain-containing protein	autotransporter outer membrane beta-barrel domain-containing protein
NGFG_02140			NMB0311	NGO_1690	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_02141			NMB0310	NGO_1692	membrane protein	CopD family protein	CopD family protein
NGFG_02142			NMB0309	NGO_1693	adenylate cyclase	CYTH domain-containing protein	CYTH domain-containing protein
NGFG_02143			NMB0308	NGO_1694	dihydrofolate reductase	dihydrofolate reductase	dihydrofolate reductase
NGFG_02144	aroG	Nmen_FA1090_fromgene	NMB0307	NGO_1695	3-deoxy-7-phosphoheptulonate synthase	3-deoxy-7-phosphoheptulonate synthase AroG	3-deoxy-7-phosphoheptulonate synthase AroG
NGFG_02147				NGO_08995	major outer membrane protein		hypothetical protein
NGFG_02148				NGO_09000	major outer membrane protein		membrane protein
NGFG_02149					hypothetical protein		
NGFG_02458			NMB0299	NGO_1178	comEA protein	helix-hairpin-helix domain-containing protein	helix-hairpin-helix domain-containing protein
NGFG_06043	rrf	Nmen_FA1090_fromgene	NMrrnaA5S	NGO_r01	5S ribosomal RNA	5S ribosomal RNA	5S ribosomal RNA
NGFG_06044	rNA	Nmen_FA1090_fromproduct	NMrrnaA23S	NGO_r08	23S ribosomal RNA	23S ribosomal RNA	23S ribosomal RNA
NGFG_06045			NMBt03	NGO_t29	tRNA-Ala	tRNA-Ala	tRNA-Ala
NGFG_06046			NMBt02	NGO_t30	tRNA-Ile	tRNA-Ile	tRNA-Ile
NGFG_06047	rNA	Nmen_FA1090_fromproduct	NMrrnaA16S	NGO_r03	16S ribosomal RNA	16S ribosomal RNA	16S ribosomal RNA
NGFG_02459					hypothetical protein		
NGFG_01612	ypjD	Nmen_FA1090_fromproduct	NMB0296	NGO_1699	cytochrome c assembly protein	inner membrane protein YpjD	inner membrane protein YpjD
NGFG_01613	ffh	Nmen_FA1090_fromgene	NMB0295	NGO_1700	signal recognition particle protein	signal recognition particle protein	signal recognition particle protein
NGFG_01614				NGO_1701	hypothetical protein		four-helix bundle copper-binding protein
NGFG_01615			NMB0292	NGO_1702	hypothetical protein	nitroreductase family protein	nitroreductase family protein
NGFG_02069				NGO_0773	hypothetical protein		transposase
NGFG_02460			NMB0292	NGO_1704	hypothetical protein	nitroreductase family protein	nitroreductase family protein
NGFG_01616			NMB0291	NGO_1705	oxidoreductase	DoxX family protein	DoxX family protein
NGFG_01617			NMB0290	NGO_1706	LysR family transcriptional regulator	LysR family transcriptional regulator	LysR family transcriptional regulator
NGFG_01618			NMB0289	NGO_1707	deoxyribodipyrimidine photo-lyase	deoxyribodipyrimidine photo-lyase	deoxyribodipyrimidine photo-lyase
NGFG_01619	dinG	Nmen_FA1090_fromgene	NMB0287	NGO_1708	ATP-dependent DNA helicase DinG	ATP-dependent DNA helicase DinG	ATP-dependent DNA helicase DinG
NGFG_01620			NMB0286	NGO_1709	hypothetical protein	tellurite resistance TerB family protein	tellurite resistance TerB family protein
NGFG_01621			NMB0285	NGO_1710	acyltransferase	acyltransferase	acyltransferase
NGFG_01622	purB	Nmen_FA1090_fromgene	NMB0284	NGO_1711	adenylosuccinate lyase	adenylosuccinate lyase	adenylosuccinate lyase
NGFG_01623			NMB0283	NGO_1712	hypothetical protein	TIGR00730 family Rossman fold protein	TIGR00730 family Rossman fold protein
NGFG_01624			NMB0282	NGO_1713	exoribonuclease II	VacB/RNase II family 3'-5' exoribonuclease	RNB domain-containing ribonuclease
NGFG_01625			NMB0281	NGO_1714	peptidyl-prolyl cis-trans isomerase SurA	peptidylprolyl isomerase	peptidylprolyl isomerase
NGFG_01626	lptD	Nmen_FA1090_fromproduct	NMB0280	NGO_1715	LPS-assembly protein lptD	LPS-assembly protein LptD	LPS-assembly protein LptD
NGFG_01627			NMB0279	NGO_1716	phosphotransferase	phosphotransferase	phosphotransferase
NGFG_01628			NMB0278	NGO_1717	thiol:disulfide interchange protein DsbA	thiol:disulfide interchange protein DsbA/DsbL	thiol:disulfide interchange protein DsbA/DsbL
NGFG_01630	murJ	Nmen_FA1090_fromgene	NMB0277	NGO_1718	integral membrane virulence factor MviN	murein biosynthesis integral membrane protein MurJ	murein biosynthesis integral membrane protein MurJ
NGFG_02461					hypothetical protein		
NGFG_01631			NMB0276	NGO_1719	hypothetical protein	YheT family hydrolase	alpha/beta fold hydrolase
NGFG_01632	trpC	Nmen_FA1090_fromgene	NMB0275	NGO_1721	indole-3-glycerol phosphate synthase	indole-3-glycerol phosphate synthase TrpC	indole-3-glycerol phosphate synthase TrpC
NGFG_01633	recQ	Nmen_FA1090_fromgene	NMB0274	NGO_1722	ATP-dependent DNA helicase RecQ	DNA helicase RecQ	DNA helicase RecQ
NGFG_01634			NMB0273	NGO_1723	hypothetical protein	hypothetical protein	gliding motility protein
NGFG_01635			NMB0271	NGO_1724	carboxylesterase BioH	hypothetical protein	hypothetical protein
NGFG_01636	bioH	Nmen_FA1090_fromgene	NMB0270	NGO_1725	carboxylesterase BioH	pimeloyl-ACP methyl ester esterase BioH	pimeloyl-ACP methyl ester esterase BioH
NGFG_01637			NMB0269	NGO_1726	comF family protein	ComF family protein	ComF family protein
NGFG_01638	trmL	Nmen_FA1090_fromgene	NMB0268	NGO_1727	tRNA (cytidine(34)-2'-O)-methyltransferase	tRNA (uridine(34)/cytosine(34)/5-carboxymethylaminomethyluridine(34)-2'-O)-methyltransferase TrmL	tRNA (uridine(34)/cytosine(34)/5-carboxymethylaminomethyluridine(34)-2'-O)-methyltransferase TrmL
NGFG_01639			NMB0267	NGO_1728	rare lipoprotein A	septal ring lytic transglycosylase RlpA family protein	septal ring lytic transglycosylase RlpA family protein
NGFG_01640			NMB0266	NGO_1729	hypothetical protein	PepSY domain-containing protein	PepSY domain-containing protein
NGFG_01641	ruvA	Nmen_FA1090_fromgene	NMB0265	NGO_1730	Holliday junction ATP-dependent DNA helicase ruvA	Holliday junction branch migration protein RuvA	Holliday junction branch migration protein RuvA
NGFG_01642				NGO_1731	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_01643			NMB0264	NGO_1732	ABC transporter ATP-binding protein/permease	ABC transporter ATP-binding protein	ABC transporter ATP-binding protein
NGFG_01644	rsgA	Nmen_FA1090_fromgene	NMB0263	NGO_1733	ribosome small subunit-dependent GTPase A	ribosome small subunit-dependent GTPase A	ribosome small subunit-dependent GTPase A
NGFG_01645			NMB0262	NGO_1734	exodeoxyribonuclease 7 small subunit	exodeoxyribonuclease VII small subunit	exodeoxyribonuclease VII small subunit
NGFG_01646			NMB0261	NGO_1735	geranyltranstransferase	polyprenyl synthetase family protein	polyprenyl synthetase family protein
NGFG_01647			NMB0260	NGO_1736	hypothetical protein	DUF2818 family protein	DUF2818 family protein
NGFG_01648	nuoN	Nmen_FA1090_fromgene	NMB0259	NGO_1737	NADH-quinone oxidoreductase subunit N	NADH-quinone oxidoreductase subunit NuoN	NADH-quinone oxidoreductase subunit NuoN
NGFG_01649			NMB0258	NGO_1738	proton-translocating NADH-quinone oxidoreductase%2C chain M	NADH-quinone oxidoreductase subunit M	NADH-quinone oxidoreductase subunit M
NGFG_01650							
NGFG_01651							
NGFG_01652	nuoL	Nmen_FA1090_fromgene	NMB0257	NGO_1740	NADH-quinone oxidoreductase subunit L	NADH-quinone oxidoreductase subunit L	NADH-quinone oxidoreductase subunit L
NGFG_01653	nuoK	Nmen_FA1090_fromgene	NMB0254	NGO_1741	NADH-quinone oxidoreductase subunit K	NADH-quinone oxidoreductase subunit NuoK	NADH-quinone oxidoreductase subunit NuoK
NGFG_01654			NMB0253	NGO_1742	NADH-quinone oxidoreductase subunit J	NADH-quinone oxidoreductase subunit J	NADH-quinone oxidoreductase subunit J
NGFG_01655	nuoI	Nmen_FA1090_fromgene	NMB0251	NGO_1743	NADH-quinone oxidoreductase subunit I	NADH-quinone oxidoreductase subunit NuoI	NADH-quinone oxidoreductase subunit NuoI
NGFG_01656	nuoH	Nmen_FA1090_fromgene	NMB0250	NGO_1744	NADH-quinone oxidoreductase subunit H	NADH-quinone oxidoreductase subunit NuoH	NADH-quinone oxidoreductase subunit NuoH
NGFG_01657			NMB0249	NGO_1745	NADH dehydrogenase (quinone)%2C G subunit	NADH-quinone oxidoreductase subunit G	NADH-quinone oxidoreductase subunit G
NGFG_01658			NMB0247	NGO_09270		hypothetical protein	hypothetical protein
NGFG_01659	nuoF	Nmen_FA1090_fromgene	NMB0246	NGO_1746	NADH oxidoreductase (quinone)%2C F subunit	NADH-quinone oxidoreductase subunit NuoF	NADH-quinone oxidoreductase subunit NuoF
NGFG_01660	nuoE	Nmen_FA1090_fromgene	NMB0245	NGO_1747	NADH-quinone oxidoreductase%2C E subunit	NADH-quinone oxidoreductase subunit NuoE	NADH-quinone oxidoreductase subunit NuoE
NGFG_01661	nuoD	Nmen_FA1090_fromgene	NMB0244	NGO_1748	NADH-quinone oxidoreductase subunit D	NADH dehydrogenase (quinone) subunit D	NADH dehydrogenase (quinone) subunit D
NGFG_01662			NMB0243	NGO_1749	NADH-quinone oxidoreductase subunit C	NADH-quinone oxidoreductase subunit C	NADH-quinone oxidoreductase subunit C
NGFG_01663			NMB0242	NGO_1750	NADH-quinone oxidoreductase subunit B	NADH-quinone oxidoreductase subunit B	NADH-quinone oxidoreductase subunit B
NGFG_01664			NMB0241	NGO_1751	NADH-quinone oxidoreductase subunit A	NADH-quinone oxidoreductase subunit A	NADH-quinone oxidoreductase subunit A
NGFG_01665			NMB0240	NGO_1752	hypothetical protein	spermidine synthase	spermidine synthase
NGFG_01666			NMB0239	NGO_1753	hypothetical protein	fused MFS/spermidine synthase	fused MFS/spermidine synthase
NGFG_02462			NMB0238	NGO_1074	hypothetical protein	transposase	transposase
NGFG_01667	uvrD	Nmen_FA1090_fromgene	NMB0232	NGO_1757	DNA helicase II	DNA helicase II	DNA helicase II
NGFG_01668	glnE	Nmen_FA1090_fromgene	NMB0224	NGO_1758	hypothetical protein	bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase	bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase
NGFG_01669	glnE	Nmen_FA1090_fromgene	NMB0224	NGO_1758	glutamate-ammonia-ligase adenylyltransferase	bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase	bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase
NGFG_01670			NMB0223	NGO_1759	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_01671			NMB0222	NGO_1760	hypothetical protein	DUF2247 family protein	DUF2247 family protein
NGFG_01672			NMB0221	NGO_1761	dihydroorotate dehydrogenase	quinone-dependent dihydroorotate dehydrogenase	quinone-dependent dihydroorotate dehydrogenase
NGFG_01673	acpP	Nmen_FA1090_fromgene	NMB0220	NGO_1762	acyl carrier protein	acyl carrier protein	acyl carrier protein
NGFG_01674	fabF	Nmen_FA1090_fromgene	NMB0219	NGO_1763	beta-ketoacyl-acyl-carrier-protein synthase II	beta-ketoacyl-ACP synthase II	beta-ketoacyl-ACP synthase II
NGFG_01675							MFS transporter
NGFG_01676			NMB0218	NGO_1765	pilin glycosyltransferase PglA	glycosyltransferase family 4 protein	glycosyltransferase family 4 protein
NGFG_01677			NMB0217	NGO_09380	RNA polymerase sigma-54 factor	RNA polymerase sigma-54 factor	RNA polymerase subunit sigma
NGFG_01678	katA	Nmen_FA1090_fromproduct	NMB0216	NGO_1767	catalase	catalase KatA	catalase KatA
NGFG_01679			NMB0215	NGO_1768		manganese efflux pump MntP family protein	manganese efflux pump MntP family protein
NGFG_01680				NGO_1769	cytochrome c peroxidase		cytochrome-c peroxidase
NGFG_01681			NMB0214	NGO_1770	oligopeptidase A	M3 family metallopeptidase	M3 family metallopeptidase
NGFG_01682			NMB0213	NGO_1771	small conductance mechanosensitive ion channel protein	mechanosensitive ion channel family protein	mechanosensitive ion channel family protein
NGFG_01684	gyrB	Nmen_FA1090_fromgene	NMB0212	NGO_1772	DNA gyrase subunit B	DNA topoisomerase (ATP-hydrolyzing) subunit B	DNA topoisomerase (ATP-hydrolyzing) subunit B
NGFG_01685			NMB0211	NGO_1773	L-serine ammonia-lyase	L-serine ammonia-lyase	L-serine ammonia-lyase
NGFG_02463			NMB0210		hypothetical protein	DNA methyltransferase	DNA methyltransferase
NGFG_06048			NMBt10	NGO_t42	tRNA-Asp	tRNA-Asp	tRNA-Asp
NGFG_06049			NMBt11	NGO_t41	tRNA-Val	tRNA-Val	tRNA-Val
NGFG_06050			NMBt10	NGO_t42	tRNA-Asp	tRNA-Asp	tRNA-Asp
NGFG_06051			NMBt11	NGO_t41	tRNA-Val	tRNA-Val	tRNA-Val
NGFG_01686			NMB0209	NGO_1774	monovalent cation:proton antiporter-2 (CPA2) family transporter	monovalent cation:proton antiporter family protein	potassium transporter
NGFG_01687			NMB0208	NGO_1775	electron transport complex%2C rnfabcdge type%2C B subunit	RnfABCDGE type electron transport complex subunit B	RnfABCDGE type electron transport complex subunit B
NGFG_01688	gap	Nmen_FA1090_fromgene	NMB0207	NGO_1776	glyceraldehyde-3-phosphate dehydrogenase%2C type I	type I glyceraldehyde-3-phosphate dehydrogenase	type I glyceraldehyde-3-phosphate dehydrogenase
NGFG_01689			NMB0206	NGO_1778	leucyl/phenylalanyl-tRNA-protein transferase	leucyl/phenylalanyl-tRNA--protein transferase	leucyl/phenylalanyl-tRNA--protein transferase
NGFG_01690	fur	Nmen_FA1090_fromgene	NMB0205	NGO_1779	ferric uptake regulation protein	ferric iron uptake transcriptional regulator	ferric iron uptake transcriptional regulator
NGFG_01691	bamE	Nmen_FA1090_fromproduct	NMB0204	NGO_1780	lipoprotein	outer membrane protein assembly factor BamE	outer membrane protein assembly factor BamE
NGFG_01692	dapB	Nmen_FA1090_fromgene	NMB0203	NGO_1781	dihydrodipicolinate reductase	4-hydroxy-tetrahydrodipicolinate reductase	4-hydroxy-tetrahydrodipicolinate reductase
NGFG_01695	lpxB	Nmen_FA1090_fromgene	NMB0199	NGO_1782	lipid-A-disaccharide synthase	lipid-A-disaccharide synthase	lipid-A-disaccharide synthase
NGFG_01696			NMB0198	NGO_1783	RluA family pseudouridine synthase	RluA family pseudouridine synthase	RluA family pseudouridine synthase
NGFG_01697			NMB0196	NGO_1785	rne/Rng family ribonuclease	Rne/Rng family ribonuclease	Rne/Rng family ribonuclease
NGFG_01698	pdxA	Nmen_FA1090_fromgene	NMB0195	NGO_1786	4-hydroxythreonine-4-phosphate dehydrogenase	4-hydroxythreonine-4-phosphate dehydrogenase PdxA	4-hydroxythreonine-4-phosphate dehydrogenase PdxA
NGFG_01699			NMB0194	NGO_1787	AGCS family alanine or glycine:cation symporter	sodium:alanine symporter family protein	sodium:alanine symporter family protein
NGFG_01700	mnmG	Nmen_FA1090_fromgene	NMB0193	NGO_1788	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG
NGFG_01701	rnhB	Nmen_FA1090_fromgene	NMB0192	NGO_1789	ribonuclease HII	ribonuclease HII	ribonuclease HII
NGFG_01703			NMB0191	NGO_1790	chromosome partitioning protein ParA	ParA family protein	ParA family protein
NGFG_01704	rsmG	Nmen_FA1090_fromgene	NMB0190	NGO_1791	ribosomal RNA small subunit methyltransferase G	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG
NGFG_01705			NMB0189	NGO_1792	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_06052			NMBt08	NGO_t44	tRNA-Thr	tRNA-Thr	tRNA-Thr
NGFG_01706			NMB0188	NGO_1793	hypothetical protein	FUSC family protein	FUSC family protein
NGFG_01707					hypothetical protein		NgoPII family restriction endonuclease
NGFG_01708					hypothetical protein		NgoPII family restriction endonuclease
NGFG_01709				NGO_1795	site-specific DNA methyltransferase		DNA cytosine methyltransferase
NGFG_01710	frr	Nmen_FA1090_fromgene	NMB0187	NGO_1796	ribosome-recycling factor	ribosome recycling factor	ribosome recycling factor
NGFG_01711			NMB0186	NGO_1797	undecaprenyl pyrophosphate synthase	isoprenyl transferase	isoprenyl transferase
NGFG_01712			NMB0185	NGO_1798	phosphatidate cytidylyltransferase	phosphatidate cytidylyltransferase	phosphatidate cytidylyltransferase
NGFG_01713			NMB0184	NGO_1799	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1-deoxy-D-xylulose-5-phosphate reductoisomerase	1-deoxy-D-xylulose-5-phosphate reductoisomerase
NGFG_01714	rseP	Nmen_FA1090_fromgene	NMB0183	NGO_1800	RIP metalloprotease RseP	RIP metalloprotease RseP	RIP metalloprotease RseP
NGFG_01715	bamA	Nmen_FA1090_fromgene	NMB0182	NGO_1801	outer membrane protein omp85	outer membrane protein assembly factor BamA	outer membrane protein assembly factor BamA
NGFG_01716			NMB0181	NGO_1802	outer membrane protein OmpH	OmpH family outer membrane protein	OmpH family outer membrane protein
NGFG_01717	lpxD	Nmen_FA1090_fromgene	NMB0180	NGO_1803	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
NGFG_01718	fabZ	Nmen_FA1090_fromgene	NMB0179	NGO_1804	(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase	3-hydroxyacyl-ACP dehydratase FabZ	3-hydroxyacyl-ACP dehydratase FabZ
NGFG_01719				NGO_1805	hypothetical protein		Abi family protein
NGFG_01720	lpxA	Nmen_FA1090_fromgene	NMB0178	NGO_1806	acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase	acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase	acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase
NGFG_01721			NMB0177	NGO_1807	sodium:alanine symporter	sodium:alanine symporter family protein	sodium:alanine symporter family protein
NGFG_01722			NMB0176	NGO_1808	D-amino acid dehydrogenase small subunit	D-amino acid dehydrogenase	D-amino acid dehydrogenase
NGFG_01723			NMB0174	NGO_1809	valyl-tRNA synthetase	valine--tRNA ligase	valine--tRNA ligase
NGFG_01724				NGO_1810	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_02199	truA	Nmen_FA1090_fromgene	NMB2036	NGO_1811	tRNA pseudouridine synthase A	tRNA pseudouridine(38-40) synthase TruA	tRNA pseudouridine(38-40) synthase TruA
NGFG_01725	porB	Nmen_fromgene	NMB2039	NGO_1812	major outer membrane protein P.IB	trimeric porin PorB	porin
NGFG_01726	oxyR	Nmen_FA1090_fromgene	NMB0173	NGO_1813	LysR family transcriptional regulator%2C hydrogen peroxide-inducible genes activator	LysR family transcriptional regulator OxyR	LysR family transcriptional regulator OxyR
NGFG_01727	minE	Nmen_FA1090_fromgene	NMB0172	NGO_1814	cell division topological specificity factor	cell division topological specificity factor MinE	cell division topological specificity factor MinE
NGFG_01728	minD	Nmen_FA1090_fromgene	NMB0171	NGO_09675	septum site-determining protein minD	septum site-determining protein MinD	septum site-determining protein MinD
NGFG_01729	minC	Nmen_FA1090_fromgene	NMB0170	NGO_1816	septum site-determining protein MinC	septum site-determining protein MinC	septum site-determining protein MinC
NGFG_02464	rplQ	Nmen_FA1090_fromgene	NMB0169	NGO_1817	hypothetical protein	50S ribosomal protein L17	50S ribosomal protein L17
NGFG_01730	rplQ	Nmen_FA1090_fromgene	NMB0169	NGO_1817	50S ribosomal protein L17	50S ribosomal protein L17	50S ribosomal protein L17
NGFG_01731	rpoA	Nmen_FA1090_fromgene	NMB0168	NGO_1818	DNA-directed RNA polymerase subunit alpha	DNA-directed RNA polymerase subunit alpha	DNA-directed RNA polymerase subunit alpha
NGFG_01732	rpsD	Nmen_FA1090_fromgene	NMB0167	NGO_1819	30S ribosomal protein S4	30S ribosomal protein S4	30S ribosomal protein S4
NGFG_01734	rpsM	Nmen_FA1090_fromgene	NMB0165	NGO_1821	30S ribosomal protein S13	30S ribosomal protein S13	30S ribosomal protein S13
NGFG_01735	infA	Nmen_FA1090_fromgene	NMB0163	NGO_18211	translation initiation factor IF-1	translation initiation factor IF-1	translation initiation factor IF-1
NGFG_01736	secY	Nmen_FA1090_fromgene	NMB0162	NGO_1822	preprotein translocase%2C SecY subunit	preprotein translocase subunit SecY	preprotein translocase subunit SecY
NGFG_01737	rplO	Nmen_FA1090_fromgene	NMB0161	NGO_1823	50S ribosomal protein L15	50S ribosomal protein L15	50S ribosomal protein L15
NGFG_01738	rpmD	Nmen_FA1090_fromgene	NMB0160	NGO_18231	50S ribosomal protein L30	50S ribosomal protein L30	50S ribosomal protein L30
