locustag_in_Ngo	name_in_Ngo	type_in_Ngo	product_in_Ngo	gene_in_Nmen	locustag_in_Nmen	type_in_Nmen	product_in_Nmen
NGFG_01654	NGFG_01654	gene	NADH-quinone oxidoreductase subunit J		NMB0253	gene	NADH-quinone oxidoreductase subunit J
NGFG_01655	NGFG_01655	gene	NADH-quinone oxidoreductase subunit I	nuoI	NMB0251	gene	NADH-quinone oxidoreductase subunit NuoI
NGFG_01656	NGFG_01656	gene	NADH-quinone oxidoreductase subunit H	nuoH	NMB0250	gene	NADH-quinone oxidoreductase subunit NuoH
NGFG_01657	NGFG_01657	gene	NADH dehydrogenase (quinone)%2C G subunit		NMB0249	gene	NADH-quinone oxidoreductase subunit G
NGFG_01658	NGFG_01658	pseudogene			NMB0247	gene	hypothetical protein
NGFG_01659	NGFG_01659	gene	NADH oxidoreductase (quinone)%2C F subunit	nuoF	NMB0246	gene	NADH-quinone oxidoreductase subunit NuoF
NGFG_01660	NGFG_01660	gene	NADH-quinone oxidoreductase%2C E subunit	nuoE	NMB0245	gene	NADH-quinone oxidoreductase subunit NuoE
NGFG_01661	NGFG_01661	gene	NADH-quinone oxidoreductase subunit D	nuoD	NMB0244	gene	NADH dehydrogenase (quinone) subunit D
NGFG_01662	NGFG_01662	gene	NADH-quinone oxidoreductase subunit C		NMB0243	gene	NADH-quinone oxidoreductase subunit C
NGFG_01663	NGFG_01663	gene	NADH-quinone oxidoreductase subunit B		NMB0242	gene	NADH-quinone oxidoreductase subunit B
NGFG_01664	NGFG_01664	gene	NADH-quinone oxidoreductase subunit A		NMB0241	gene	NADH-quinone oxidoreductase subunit A
NGFG_01665	NGFG_01665	gene	hypothetical protein		NMB0240	gene	spermidine synthase
NGFG_01666	NGFG_01666	gene	hypothetical protein		NMB0239	gene	fused MFS/spermidine synthase
NGFG_02462	NGFG_02462	gene	hypothetical protein		NMB0238	pseudogene	transposase
NGFG_01667	NGFG_01667	gene	DNA helicase II	uvrD	NMB0232	gene	DNA helicase II
NGFG_01668	NGFG_01668	gene	hypothetical protein	glnE	NMB0224	gene	bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase
NGFG_01669	NGFG_01669	gene	glutamate-ammonia-ligase adenylyltransferase	glnE	NMB0224	gene	bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase
NGFG_01670	NGFG_01670	gene	hypothetical protein		NMB0223	gene	hypothetical protein
NGFG_01671	NGFG_01671	gene	hypothetical protein		NMB0222	gene	DUF2247 family protein
NGFG_01672	NGFG_01672	gene	dihydroorotate dehydrogenase		NMB0221	gene	quinone-dependent dihydroorotate dehydrogenase
NGFG_01673	NGFG_01673	gene	acyl carrier protein	acpP	NMB0220	gene	acyl carrier protein
NGFG_01674	NGFG_01674	gene	beta-ketoacyl-acyl-carrier-protein synthase II	fabF	NMB0219	gene	beta-ketoacyl-ACP synthase II
NGFG_01675	NGFG_01675	pseudogene					
NGFG_01676	NGFG_01676	gene	pilin glycosyltransferase PglA		NMB0218	gene	glycosyltransferase family 4 protein
NGFG_01677	NGFG_01677	gene	RNA polymerase sigma-54 factor		NMB0217	gene	RNA polymerase sigma-54 factor
NGFG_01678	NGFG_01678	gene	catalase		NMB0216	gene	catalase KatA
NGFG_01679	NGFG_01679	pseudogene			NMB0215	gene	manganese efflux pump MntP family protein
NGFG_01680	NGFG_01680	gene	cytochrome c peroxidase				
NGFG_01681	NGFG_01681	gene	oligopeptidase A		NMB0214	gene	M3 family metallopeptidase
NGFG_01682	NGFG_01682	gene	small conductance mechanosensitive ion channel protein		NMB0213	gene	mechanosensitive ion channel family protein
NGFG_01684	NGFG_01684	gene	DNA gyrase subunit B	gyrB	NMB0212	gene	DNA topoisomerase (ATP-hydrolyzing) subunit B
NGFG_01685	NGFG_01685	gene	L-serine ammonia-lyase		NMB0211	gene	L-serine ammonia-lyase
NGFG_02463	NGFG_02463	gene	hypothetical protein		NMB0210	pseudogene	DNA methyltransferase
NGFG_06048	NGFG_06048	tRNA	tRNA-Asp		NMBt10	tRNA	tRNA-Asp
NGFG_06049	NGFG_06049	tRNA	tRNA-Val		NMBt11	tRNA	tRNA-Val
NGFG_06050	NGFG_06050	tRNA	tRNA-Asp		NMBt10	tRNA	tRNA-Asp
NGFG_06051	NGFG_06051	tRNA	tRNA-Val		NMBt11	tRNA	tRNA-Val
NGFG_01686	NGFG_01686	gene	monovalent cation:proton antiporter-2 (CPA2) family transporter		NMB0209	gene	monovalent cation:proton antiporter family protein
NGFG_01687	NGFG_01687	gene	electron transport complex%2C rnfabcdge type%2C B subunit		NMB0208	gene	RnfABCDGE type electron transport complex subunit B
NGFG_01688	NGFG_01688	gene	glyceraldehyde-3-phosphate dehydrogenase%2C type I	gap	NMB0207	gene	type I glyceraldehyde-3-phosphate dehydrogenase
NGFG_01689	NGFG_01689	gene	leucyl/phenylalanyl-tRNA-protein transferase		NMB0206	gene	leucyl/phenylalanyl-tRNA--protein transferase
NGFG_01690	NGFG_01690	gene	ferric uptake regulation protein	fur	NMB0205	gene	ferric iron uptake transcriptional regulator
NGFG_01691	NGFG_01691	gene	lipoprotein		NMB0204	gene	outer membrane protein assembly factor BamE
NGFG_01692	NGFG_01692	gene	dihydrodipicolinate reductase	dapB	NMB0203	gene	4-hydroxy-tetrahydrodipicolinate reductase
NGFG_01695	NGFG_01695	gene	lipid-A-disaccharide synthase	lpxB	NMB0199	gene	lipid-A-disaccharide synthase
NGFG_01696	NGFG_01696	gene	RluA family pseudouridine synthase		NMB0198	gene	RluA family pseudouridine synthase
NGFG_01697	NGFG_01697	gene	rne/Rng family ribonuclease		NMB0196	gene	Rne/Rng family ribonuclease
NGFG_01698	NGFG_01698	gene	4-hydroxythreonine-4-phosphate dehydrogenase	pdxA	NMB0195	gene	4-hydroxythreonine-4-phosphate dehydrogenase PdxA
NGFG_01699	NGFG_01699	gene	AGCS family alanine or glycine:cation symporter		NMB0194	gene	sodium:alanine symporter family protein
NGFG_01700	NGFG_01700	gene	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG	mnmG	NMB0193	gene	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG
NGFG_01701	NGFG_01701	gene	ribonuclease HII	rnhB	NMB0192	gene	ribonuclease HII
NGFG_01703	NGFG_01703	gene	chromosome partitioning protein ParA		NMB0191	gene	ParA family protein
NGFG_01704	NGFG_01704	gene	ribosomal RNA small subunit methyltransferase G	rsmG	NMB0190	gene	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG
NGFG_01705	NGFG_01705	gene	hypothetical protein		NMB0189	pseudogene	hypothetical protein
NGFG_06052	NGFG_06052	tRNA	tRNA-Thr		NMBt08	tRNA	tRNA-Thr
NGFG_01706	NGFG_01706	gene	hypothetical protein		NMB0188	gene	FUSC family protein
NGFG_01707	NGFG_01707	gene	hypothetical protein				
NGFG_01708	NGFG_01708	gene	hypothetical protein				
NGFG_01709	NGFG_01709	gene	site-specific DNA methyltransferase				
NGFG_01710	NGFG_01710	gene	ribosome-recycling factor	frr	NMB0187	gene	ribosome recycling factor
NGFG_01711	NGFG_01711	gene	undecaprenyl pyrophosphate synthase		NMB0186	gene	isoprenyl transferase
NGFG_01712	NGFG_01712	gene	phosphatidate cytidylyltransferase		NMB0185	gene	phosphatidate cytidylyltransferase
NGFG_01713	NGFG_01713	gene	1-deoxy-D-xylulose 5-phosphate reductoisomerase		NMB0184	gene	1-deoxy-D-xylulose-5-phosphate reductoisomerase
NGFG_01714	NGFG_01714	gene	RIP metalloprotease RseP	rseP	NMB0183	gene	RIP metalloprotease RseP
NGFG_01715	NGFG_01715	gene	outer membrane protein omp85	bamA	NMB0182	gene	outer membrane protein assembly factor BamA
NGFG_01716	NGFG_01716	gene	outer membrane protein OmpH		NMB0181	gene	OmpH family outer membrane protein
NGFG_01717	NGFG_01717	gene	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	lpxD	NMB0180	gene	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
NGFG_01718	NGFG_01718	gene	(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase	fabZ	NMB0179	gene	3-hydroxyacyl-ACP dehydratase FabZ
NGFG_01719	NGFG_01719	gene	hypothetical protein				
NGFG_01720	NGFG_01720	gene	acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase	lpxA	NMB0178	gene	acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase
NGFG_01721	NGFG_01721	gene	sodium:alanine symporter		NMB0177	gene	sodium:alanine symporter family protein
NGFG_01722	NGFG_01722	gene	D-amino acid dehydrogenase small subunit		NMB0176	gene	D-amino acid dehydrogenase
NGFG_01723	NGFG_01723	gene	valyl-tRNA synthetase		NMB0174	gene	valine--tRNA ligase
NGFG_01724	NGFG_01724	gene	hypothetical protein			gene	hypothetical protein
NGFG_02199	NGFG_02199	gene	tRNA pseudouridine synthase A	truA	NMB2036	gene	tRNA pseudouridine(38-40) synthase TruA
NGFG_01725	NGFG_01725	gene	major outer membrane protein P.IB	porB	NMB2039	gene	trimeric porin PorB
NGFG_01726	NGFG_01726	gene	LysR family transcriptional regulator%2C hydrogen peroxide-inducible genes activator	oxyR	NMB0173	gene	LysR family transcriptional regulator OxyR
NGFG_01727	NGFG_01727	gene	cell division topological specificity factor	minE	NMB0172	gene	cell division topological specificity factor MinE
NGFG_01728	NGFG_01728	gene	septum site-determining protein minD	minD	NMB0171	gene	septum site-determining protein MinD
NGFG_01729	NGFG_01729	gene	septum site-determining protein MinC	minC	NMB0170	gene	septum site-determining protein MinC
NGFG_02464	NGFG_02464	gene	hypothetical protein	rplQ	NMB0169	gene	50S ribosomal protein L17
NGFG_01730	NGFG_01730	gene	50S ribosomal protein L17	rplQ	NMB0169	gene	50S ribosomal protein L17
NGFG_01731	NGFG_01731	gene	DNA-directed RNA polymerase subunit alpha	rpoA	NMB0168	gene	DNA-directed RNA polymerase subunit alpha
NGFG_01732	NGFG_01732	gene	30S ribosomal protein S4	rpsD	NMB0167	gene	30S ribosomal protein S4
NGFG_01734	NGFG_01734	gene	30S ribosomal protein S13	rpsM	NMB0165	gene	30S ribosomal protein S13
NGFG_01735	NGFG_01735	gene	translation initiation factor IF-1	infA	NMB0163	gene	translation initiation factor IF-1
NGFG_01736	NGFG_01736	gene	preprotein translocase%2C SecY subunit	secY	NMB0162	gene	preprotein translocase subunit SecY
NGFG_01737	NGFG_01737	gene	50S ribosomal protein L15	rplO	NMB0161	gene	50S ribosomal protein L15
NGFG_01738	NGFG_01738	gene	50S ribosomal protein L30	rpmD	NMB0160	gene	50S ribosomal protein L30
NGFG_01739	NGFG_01739	gene	30S ribosomal protein S5	rpsE	NMB0159	gene	30S ribosomal protein S5
NGFG_01741	NGFG_01741	gene	50S ribosomal protein L6	rplF	NMB0157	gene	50S ribosomal protein L6
NGFG_01742	NGFG_01742	gene	30S ribosomal protein S8	rpsH	NMB0156	gene	30S ribosomal protein S8
NGFG_01743	NGFG_01743	gene	30S ribosomal protein S14	rpsN	NMB0155	gene	30S ribosomal protein S14
NGFG_01744	NGFG_01744	gene	50S ribosomal protein L5	rplE	NMB0154	gene	50S ribosomal protein L5
NGFG_01745	NGFG_01745	gene	50S ribosomal protein L24	rplX	NMB0153	gene	50S ribosomal protein L24
NGFG_01746	NGFG_01746	gene	50S ribosomal protein L14	rplN	NMB0152	gene	50S ribosomal protein L14
NGFG_01747	NGFG_01747	gene	30S ribosomal protein S17	rpsQ	NMB0151	gene	30S ribosomal protein S17
NGFG_01748	NGFG_01748	gene	50S ribosomal protein L29	rpmC	NMB0150	gene	50S ribosomal protein L29
NGFG_01749	NGFG_01749	gene	50S ribosomal protein L16	rplP	NMB0149	gene	50S ribosomal protein L16
NGFG_01750	NGFG_01750	gene	30S ribosomal protein S3	rpsC	NMB0148	gene	30S ribosomal protein S3
NGFG_01751	NGFG_01751	gene	50S ribosomal protein L22	rplV	NMB0147	gene	50S ribosomal protein L22
NGFG_01752	NGFG_01752	gene	30S ribosomal protein S19	rpsS	NMB0146	gene	30S ribosomal protein S19
NGFG_01753	NGFG_01753	gene	50S ribosomal protein L2	rplB	NMB0145	gene	50S ribosomal protein L2
NGFG_01754	NGFG_01754	gene	50S ribosomal protein L23	rplW	NMB0144	gene	50S ribosomal protein L23
NGFG_01755	NGFG_01755	gene	50S ribosomal protein L4	rplD	NMB0143	gene	50S ribosomal protein L4
NGFG_01756	NGFG_01756	gene	50S ribosomal protein L3	rplC	NMB0142	gene	50S ribosomal protein L3
NGFG_02229	NGFG_02229	gene	30S ribosomal protein S10	rpsJ	NMB0140	gene	30S ribosomal protein S10
NGFG_02465	NGFG_02465	gene	elongation factor Tu	tuf	NMB0124	gene	elongation factor Tu
NGFG_01757	NGFG_01757	gene	elongation factor G	fusA	NMB0138	gene	elongation factor G
NGFG_01758	NGFG_01758	gene	30S ribosomal protein S7	rpsG	NMB0137	gene	30S ribosomal protein S7
NGFG_01759	NGFG_01759	gene	30S ribosomal protein S12	rpsL	NMB0136	gene	30S ribosomal protein S12
NGFG_01761	NGFG_01761	gene	hypothetical protein				
NGFG_01762	NGFG_01762	gene	hypothetical protein		NMB0134	gene	hypothetical protein
NGFG_01763	NGFG_01763	gene	hypothetical protein				
NGFG_01764	NGFG_01764	gene	hypothetical protein				
NGFG_01765	NGFG_01765	pseudogene		rpoC	NMB0133	gene	DNA-directed RNA polymerase subunit beta'
NGFG_01766	NGFG_01766	gene	DNA-directed RNA polymerase subunit beta	rpoB	NMB0132	gene	DNA-directed RNA polymerase subunit beta
NGFG_01767	NGFG_01767	gene	50S ribosomal protein L7/L12	rplL	NMB0131	gene	50S ribosomal protein L7/L12
NGFG_01768	NGFG_01768	gene	50S ribosomal protein L10	rplJ	NMB0130	gene	50S ribosomal protein L10
NGFG_01770	NGFG_01770	gene	50S ribosomal protein L1	rplA	NMB0128	gene	50S ribosomal protein L1
NGFG_01771	NGFG_01771	gene	50S ribosomal protein L11	rplK	NMB0127	gene	50S ribosomal protein L11
NGFG_01772	NGFG_01772	gene	transcription antitermination protein nusG	nusG	NMB0126	gene	transcription termination/antitermination protein NusG
NGFG_01773	NGFG_01773	gene	preprotein translocase%2C SecE subunit	secE	NMB0125	gene	preprotein translocase subunit SecE
NGFG_06053	NGFG_06053	tRNA	tRNA-Trp		NMBt07	tRNA	tRNA-Trp
NGFG_02466	NGFG_02466	gene	elongation factor Tu	tuf	NMB0124	gene	elongation factor Tu
NGFG_06054	NGFG_06054	tRNA	tRNA-Thr		NMBt06	tRNA	tRNA-Thr
NGFG_06055	NGFG_06055	tRNA	tRNA-Gly		NMBt05	tRNA	tRNA-Gly
NGFG_06056	NGFG_06056	tRNA	tRNA-Tyr		NMBt04	tRNA	tRNA-Tyr
NGFG_01774	NGFG_01774	gene	ferredoxin		NMB0123	gene	YfhL family 4Fe-4S dicluster ferredoxin
NGFG_01775	NGFG_01775	gene	RsmD family RNA methyltransferase	rsmD	NMB0122	gene	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD
NGFG_01776	NGFG_01776	gene	hypothetical protein		NMB0121	gene	helix-turn-helix transcriptional regulator
NGFG_02467	NGFG_02467	gene	opacity protein		NMB1636	gene	outer membrane beta-barrel protein
NGFG_02468	NGFG_02468	gene	opacity protein				
NGFG_01778	NGFG_01778	pseudogene					
NGFG_01779	NGFG_01779	gene	DNA topoisomerase I	topA	NMB0118	gene	type I DNA topoisomerase
NGFG_01780	NGFG_01780	gene	smg protein		NMB0117	gene	DUF494 family protein
NGFG_01781	NGFG_01781	gene	DNA processing protein	dprA	NMB0116	gene	DNA-protecting protein DprA
NGFG_01782	NGFG_01782	gene	two-component system transcriptional response regulator		NMB0115	gene	sigma-54-dependent Fis family transcriptional regulator
NGFG_01783	NGFG_01783	gene	two-component system sensor kinase		NMB0114	gene	PAS domain-containing sensor histidine kinase
NGFG_01784	NGFG_01784	gene	hypothetical protein		NMB0113	gene	DUF4390 domain-containing protein
NGFG_01785	NGFG_01785	gene	ribosomal RNA small subunit methyltransferase B	rsmB	NMB0112	gene	16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB
NGFG_01786	NGFG_01786	gene	methionyl-tRNA formyltransferase		NMB0111	gene	methionyl-tRNA formyltransferase
NGFG_01787	NGFG_01787	gene	peptide deformylase	def	NMB0110	gene	peptide deformylase
NGFG_01788	NGFG_01788	gene	LysM protein		NMB0109	gene	LysM peptidoglycan-binding domain-containing protein
NGFG_01790	NGFG_01790	gene	hypothetical protein		NMB0108	gene	hypothetical protein
NGFG_01791	NGFG_01791	gene	aspartate carbamoyltransferase regulatory chain		NMB0107	gene	aspartate carbamoyltransferase regulatory subunit
NGFG_01792	NGFG_01792	gene	aspartate carbamoyltransferase	pyrB	NMB0106	gene	aspartate carbamoyltransferase
NGFG_01793	NGFG_01793	gene	acetyltransferase		NMB0105	gene	GNAT family N-acetyltransferase
NGFG_01794	NGFG_01794	gene	hypothetical protein		NMB0102	gene	hypothetical protein
NGFG_01796	NGFG_01796	gene	pyruvate kinase	pyk	NMB0089	gene	pyruvate kinase
NGFG_01797	NGFG_01797	gene	long-chain fatty acid transporter		NMB0088	gene	transporter
NGFG_01798	NGFG_01798	gene	hypothetical protein		NMB0088	gene	transporter
NGFG_01799	NGFG_01799	gene	hypothetical protein				
NGFG_01801	NGFG_01801	gene	hypothetical protein		NMB0087	gene	hypothetical protein
NGFG_01802	NGFG_01802	gene	lipoprotein		NMB0086	gene	DUF1311 domain-containing protein
NGFG_01803	NGFG_01803	gene	sodium/glutamate symporter	gltS	NMB0085	gene	sodium/glutamate symporter
NGFG_02469	NGFG_02469	gene	hypothetical protein		NMB0075	gene	RNA-binding transcriptional accessory protein
NGFG_01805	NGFG_01805	gene	restriction endonuclease				
NGFG_01806	NGFG_01806	gene	modification methylase HphIB		NMB0077	gene	DNA adenine methylase
NGFG_02470	NGFG_02470	gene	modification methylase HphIA	dcm	NMB0076	pseudogene	DNA (cytosine-5-)-methyltransferase
NGFG_01809	NGFG_01809	gene	competence protein ComEA helix-hairpin-helix repeat region		NMB0075	gene	RNA-binding transcriptional accessory protein
NGFG_01810	NGFG_01810	gene	UDP-glucose 4-epimerase	galE	NMB0078	pseudogene	UDP-glucose 4-epimerase GalE
NGFG_01811	NGFG_01811	gene	dTDP-glucose 4%2C6-dehydratase	rfbB	NMB0063	gene	dTDP-glucose 4%2C6-dehydratase
NGFG_01812	NGFG_01812	gene	glucose-1-phosphate thymidylyltransferase	rfbA	NMB0062	gene	glucose-1-phosphate thymidylyltransferase RfbA
NGFG_01813	NGFG_01813	gene	dTDP-4-dehydrorhamnose 3%2C5-epimerase	rfbC	NMB0061	gene	dTDP-4-dehydrorhamnose 3%2C5-epimerase
NGFG_01814	NGFG_01814	gene	OPT family oligopeptide transporter		NMB0060	gene	oligopeptide transporter%2C OPT family
NGFG_01815	NGFG_01815	gene	chaperone dnaJ	dnaJ	NMB0059	gene	molecular chaperone DnaJ
NGFG_01816	NGFG_01816	gene	transposase		NMB1399	gene	IS5 family transposase
NGFG_02471	NGFG_02471	gene	comEA protein		NMB0299	gene	helix-hairpin-helix domain-containing protein
NGFG_06057	NGFG_06057	rRNA	5S ribosomal RNA	rrf	NMrrnaA5S	rRNA	5S ribosomal RNA
NGFG_06058	NGFG_06058	rRNA	23S ribosomal RNA		NMrrnaA23S	rRNA	23S ribosomal RNA
NGFG_06059	NGFG_06059	tRNA	tRNA-Ala		NMBt03	tRNA	tRNA-Ala
NGFG_06060	NGFG_06060	tRNA	tRNA-Ile		NMBt02	tRNA	tRNA-Ile
NGFG_06061	NGFG_06061	rRNA	16S ribosomal RNA		NMrrnaA16S	rRNA	16S ribosomal RNA
NGFG_02472	NGFG_02472	gene	hypothetical protein				
NGFG_01984	NGFG_01984	gene	DnaK suppressor protein	dksA	NMB0056	gene	RNA polymerase-binding protein DksA
NGFG_01983	NGFG_01983	gene	pyrroline-5-carboxylate reductase		NMB0055	gene	pyrroline-5-carboxylate reductase
NGFG_01982	NGFG_01982	gene	lipoprotein		NMB0054	gene	hypothetical protein
NGFG_01981	NGFG_01981	gene	YggS family pyridoxal phosphate enzyme		NMB0053	gene	YggS family pyridoxal phosphate-dependent enzyme
NGFG_01980	NGFG_01980	gene	twitching motility protein		NMB0052	gene	type IV pilus twitching motility protein PilT
NGFG_01979	NGFG_01979	gene	twitching motility protein		NMB0051	gene	PilT/PilU family type 4a pilus ATPase
NGFG_01978	NGFG_01978	gene	TIGR01666 family membrane protein	yccS	NMB0050	gene	TIGR01666 family membrane protein
NGFG_02247	NGFG_02247	gene	endonuclease		NMB0047	gene	GIY-YIG nuclease family protein
NGFG_01977	NGFG_01977	gene	type IV pilus assembly protein PilC		NMB1847	gene	pilus assembly/adherence protein PilC
NGFG_01975	NGFG_01975	gene	6-phosphogluconate dehydrogenase%2C decarboxylating	gnd	NMB0015	gene	decarboxylating NADP(+)-dependent phosphogluconate dehydrogenase
NGFG_01974	NGFG_01974	gene	3-deoxy-D-manno-octulosonic-acid transferase		NMB0014	gene	lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase
NGFG_01973	NGFG_01973	gene	hypothetical protein		NMB0013	gene	CopD family copper resistance protein
NGFG_01972	NGFG_01972	gene	tellurite resistance integral membrane protein TerC		NMB0012	gene	TerC family protein
NGFG_06062	NGFG_06062	tRNA	tRNA-Lys		NMBt52	tRNA	tRNA-Lys
NGFG_01971	NGFG_01971	gene	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	murA	NMB0011	gene	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
NGFG_01970	NGFG_01970	gene	phosphoglycerate kinase		NMB0010	gene	phosphoglycerate kinase
NGFG_01969	NGFG_01969	gene	BolA-like protein		NMB0009	gene	BolA family transcriptional regulator
NGFG_01968	NGFG_01968	gene	cell division protein FtsX	ftsX	NMB0008	gene	cell division protein FtsX
NGFG_02473	NGFG_02473	gene	cell division ABC transporter ATP-binding protein	ftsE	NMB0007	gene	cell division ATP-binding protein FtsE
NGFG_01965	NGFG_01965	gene	thioredoxin		NMB0006	gene	TlpA family protein disulfide reductase
NGFG_01964	NGFG_01964	gene	arsenate reductase (glutaredoxin)	arsC	NMB0005	gene	arsenate reductase (glutaredoxin)
NGFG_01963	NGFG_01963	gene	hypothetical protein		NMB0004	gene	YdcF family protein
NGFG_01962	NGFG_01962	gene	glutamyl-tRNA synthetase		NMB0003	gene	glutamate--tRNA ligase
NGFG_01961	NGFG_01961	gene	hypothetical protein		NMB0002	gene	hypothetical protein
NGFG_01960	NGFG_01960	gene	acetyltransferase		NMB0001	gene	GNAT family N-acetyltransferase
NGFG_01959	NGFG_01959	gene	DNA mismatch repair protein mutS	mutS	NMB2160	gene	DNA mismatch repair protein MutS
NGFG_01958	NGFG_01958	gene	glyceraldehyde-3-phosphate dehydrogenase	gap	NMB2159	gene	type I glyceraldehyde-3-phosphate dehydrogenase
NGFG_01957	NGFG_01957	gene	hypothetical protein	tsaA	NMB2158	gene	tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO
NGFG_01956	NGFG_01956	gene	nicotinamidase/pyrazinamidase		NMB2157	gene	nicotinamidase
NGFG_01955	NGFG_01955	gene	lipopolysaccharide heptosyltransferase I	waaC	NMB2156	gene	lipopolysaccharide heptosyltransferase I
NGFG_01954	NGFG_01954	gene	electron transfer flavoprotein beta subunit ETFB		NMB2155	gene	electron transfer flavoprotein subunit beta/FixA family protein
NGFG_01953	NGFG_01953	gene	electron transfer flavoprotein alpha subunit EtfA		NMB2154	gene	electron transfer flavoprotein subunit alpha/FixB family protein
NGFG_01952	NGFG_01952	gene	hypothetical protein		NMB2153	gene	YigZ family protein
NGFG_01951	NGFG_01951	gene	hypothetical protein		NMB2152	gene	DUF4298 domain-containing protein
NGFG_01950	NGFG_01950	gene	phosphoribosylamine-glycine ligase	purD	NMB2151	gene	phosphoribosylamine--glycine ligase
NGFG_01949	NGFG_01949	gene	tRNA threonylcarbamoyladenosine biosynthesis protein RimN		NMB2150	gene	L-threonylcarbamoyladenylate synthase
NGFG_01948	NGFG_01948	gene	hypothetical protein			pseudogene	hypothetical protein
NGFG_01947	NGFG_01947	gene	lipoprotein		NMB2147	gene	hypothetical protein
NGFG_01946	NGFG_01946	gene	hypothetical protein		NMB2145	gene	zf-HC2 domain-containing protein
NGFG_01945	NGFG_01945	gene	TIGR02943 family RNA polymerase sigma-70 factor		NMB2144	gene	sigma-70 family RNA polymerase sigma factor
NGFG_01944	NGFG_01944	gene	hypothetical protein		NMB2143	gene	DUF2063 domain-containing protein
NGFG_01943	NGFG_01943	gene	UPF0276 protein		NMB2142	gene	DUF692 family protein
NGFG_01942	NGFG_01942	gene	hypothetical protein		NMB2141	gene	hypothetical protein
NGFG_01941	NGFG_01941	gene	oxidoreductase		NMB2140	gene	DoxX family protein
NGFG_01940	NGFG_01940	gene	phospholipase patatin family protein		NMB2139	gene	patatin-like phospholipase family protein
NGFG_01939	NGFG_01939	gene	peptide chain release factor 2	prfB	NMB2138	gene	peptide chain release factor 2
NGFG_02474	NGFG_02474	gene	hypothetical protein	rnpB		RNase_P_RNA	RNase P RNA component class A
NGFG_01937	NGFG_01937	gene	amino acid/peptide transporter (Peptide:H+ symporter)		NMB2136	gene	MFS transporter
NGFG_01935	NGFG_01935	gene	hypothetical protein		NMB2135	gene	translocation/assembly module TamB
NGFG_01934	NGFG_01934	gene	outer membrane protein		NMB2134	gene	outer membrane protein assembly factor
NGFG_01933	NGFG_01933	gene	serine/threonine transporter sstT	sstT	NMB2133	gene	serine/threonine transporter SstT
NGFG_01931	NGFG_01931	gene	iron transporter outer membrane receptor		NMB2132	gene	transferrin-binding protein-like solute binding protein
NGFG_02475	NGFG_02475	gene	hypothetical protein				
NGFG_01929	NGFG_01929	gene	hypothetical protein		NMB2131	gene	hypothetical protein
NGFG_01928	NGFG_01928	gene	hypothetical protein		NMB2131	gene	hypothetical protein
NGFG_01927	NGFG_01927	gene	hypothetical protein		NMB2130	gene	DUF4177 domain-containing protein
NGFG_01926	NGFG_01926	gene	argininosuccinate synthase	argG	NMB2129	gene	argininosuccinate synthase
NGFG_01925	NGFG_01925	gene	CinA-like protein		NMB2128	gene	competence/damage-inducible protein A
NGFG_01924	NGFG_01924	gene	signal peptide peptidase SppA%2C 36K type		NMB2127	gene	S49 family peptidase
NGFG_02476	NGFG_02476	gene	transposase				
NGFG_01923	NGFG_01923	gene	hypothetical protein		NMB2125	gene	hypothetical protein
NGFG_01922	NGFG_01922	gene	hypothetical protein		NMB2123	gene	DNA mimic protein
NGFG_02477	NGFG_02477	gene	MafB family adhesin protein	mafB	NMB2105	gene	polymorphic toxin MafB class 3
NGFG_01919	NGFG_01919	gene	hypothetical protein		NMB0237	gene	immunity 8 family protein
NGFG_02223	NGFG_02223	gene	hypothetical protein		NMB2108	gene	hypothetical protein
NGFG_02222	NGFG_02222	gene	MafB family adhesin protein	mafB	NMB2107	pseudogene	polymorphic toxin MafB class 3
NGFG_01917	NGFG_01917	gene	hypothetical protein				
NGFG_01916	NGFG_01916	gene	hypothetical protein				
NGFG_01915	NGFG_01915	gene	MafB family adhesin protein	mafB	NMB2105	gene	polymorphic toxin MafB class 3
NGFG_01914	NGFG_01914	gene	hypothetical protein		NMB2110	gene	SMI1/KNR4 family protein
NGFG_02478	NGFG_02478	gene	MafB family adhesin protein	mafB	NMB2105	gene	polymorphic toxin MafB class 3
NGFG_02219	NGFG_02219	gene	adhesin mafA	mafA	NMB2104	pseudogene	adhesin MafA
